First_Column,Second_Column,Third_Column
41,7593,1
51,7593,1
113,7593,1
119,7593,1
307,7593,1
311,7593,2
463,7593,2
476,7593,1
490,7593,1
501,7593,1
512,7593,3
548,7593,2
595,7593,1
873,7593,1
887,7593,1
964,7593,1
1162,7593,1
1229,7593,2
1414,7593,2
1576,7593,1
1603,7593,1
1655,7593,1
1734,7593,1
1851,7593,1
1864,7593,1
1925,7593,1
2000,7593,2
2046,7593,1
2056,7593,2
2076,7593,1
2203,7593,1
2207,7593,1
2268,7593,1
2419,7593,1
2480,7593,2
2495,7593,2
2583,7593,1
2643,7593,1
2745,7593,6
2803,7593,1
2961,7593,1
3121,7593,1
3153,7593,1
3209,7593,1
3279,7593,1
3294,7593,1
3393,7593,1
3394,7593,1
3419,7593,1
3448,7593,1
3818,7593,1
3850,7593,1
4033,7593,1
4066,7593,1
4164,7593,1
4240,7593,1
4299,7593,1
4402,7593,3
4429,7593,2
4497,7593,1
4518,7593,5
4563,7593,1
4652,7593,3
4685,7593,1
5121,7593,1
5197,7593,2
5231,7593,1
5266,7593,1
5499,7593,4
5511,7593,1
5523,7593,1
5572,7593,1
5854,7593,1
5997,7593,1
6050,7593,1
6108,7593,1
6312,7593,1
6422,7593,1
6516,7593,2
6706,7593,1
6823,7593,1
6898,7593,1
6903,7593,1
7047,7593,1
7242,7593,1
7268,7593,2
7277,7593,4
7445,7593,1
7564,7593,1
7668,7593,1
7671,7593,1
7773,7593,1
7885,7593,1
7910,7593,1
8091,7593,1
8100,7593,1
8211,7593,2
8544,7593,1
8637,7593,1
8826,7593,1
8864,7593,1
8962,7593,1
9125,7593,1
9208,7593,1
9275,7593,4
9476,7593,2
9610,7593,1
9986,7593,1
10247,7593,1
10266,7593,1
10441,7593,2
10672,7593,1
11036,7593,1
11075,7593,1
11288,7593,1
11336,7593,1
11749,7593,1
12002,7593,2
12085,7593,1
12193,7593,1
12229,7593,1
12265,7593,2
12274,7593,1
12670,7593,1
12691,7593,1
12763,7593,1
12804,7593,1
12822,7593,1
12917,7593,1
13013,7593,1
13110,7593,6
13233,7593,1
13264,7593,2
13308,7593,1
13358,7593,1
13477,7593,2
13960,7593,1
14214,7593,1
14377,7593,1
14498,7593,2
14529,7593,1
14621,7593,1
14626,7593,1
14696,7593,1
14763,7593,1
14827,7593,2
14888,7593,1
14892,7593,1
14975,7593,3
15064,7593,2
15247,7593,2
15334,7593,2
15349,7593,1
15484,7593,1
15520,7593,1
15529,7593,1
15550,7593,1
15735,7593,2
15843,7593,1
15948,7593,3
15954,7593,1
16096,7593,1
16262,7593,2
16264,7593,1
16315,7593,3
16363,7593,2
16436,7593,1
16485,7593,3
16507,7593,1
16659,7593,1
16660,7593,1
16663,7593,1
16824,7593,1
16882,7593,3
16898,7593,1
16996,7593,2
17143,7593,1
17224,7593,1
17230,7593,1
17236,7593,1
17290,7593,7
17306,7593,1
17332,7593,1
17400,7593,1
17425,7593,1
17480,7593,2
17802,7593,1
17819,7593,1
17847,7593,1
17959,7593,1
18139,7593,1
18169,7593,2
18289,7593,1
18311,7593,2
18412,7593,1
18667,7593,1
18884,7593,1
19055,7593,1
19061,7593,2
19078,7593,2
19346,7593,1
19475,7593,1
19560,7593,1
19563,7593,1
19681,7593,2
19846,7593,2
20189,7593,1
20277,7593,1
20621,7593,3
20622,7593,1
20628,7593,1
20753,7593,2
20835,7593,1
20928,7593,1
21041,7593,1
21179,7593,4
21279,7593,3
